NAMELSAD,COUSUBFP
Palmyra township,57316
South Dixon township,70694
Sublette township,73300
Viola township,78110
Willow Creek township,81971
Will township,81711
Seward township,68757
Peotone township,59065
Bowlesville township,07536
Roscoe township,65624
Burritt township,09915
Cherry Valley township,13087
Coffee precinct,90792
Lancaster precinct,91854
Durand township,21293
Harlem township,32928
Harrison township,33188
Laona township,42054
Owen township,57069
Rockford township,65013
Rockton township,65169
Winnebago township,82504
Apple River township,01686
Berreman township,05495
Dakota township,18355
Erin township,24413
Florence township,26506
Fancy Prairie No. 3 precinct,91242
Jonesboro District 2 precinct,91782
Anna District 4 precinct,90180
Council Hill township,16639
Derinda township,19551
Dunleith township,21202
Elizabeth township,23178
Guilford township,31979
Hanover township,32720
Harlem township,32902
Jefferson township,38284
Kent township,39610
Oneco township,56120
Rock Grove township,65065
Jonesboro District 3 precinct,91792
Anna District 7 precinct,90224
Waddams township,78318
West Point township,80788
Bement township,05157
Friendsville precinct,91314
Mount Carmel precinct,92214
Normal township,53247
