STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type,Label
17,5,Mulberry Grove township,51297,Bond County,County,None
17,5,Shoal Creek township,69641,Bond County,County,None
17,43,Lisle township,43952,DuPage County,County,In the Pipeline
17,43,Milton township,49451,DuPage County,County,None
17,131,North Henderson township,53806,Mercer County,County,None
17,43,Wayne township,79410,DuPage County,County,Current Clients
17,43,York township,83947,DuPage County,County,Current Clients
17,49,Banner township,3558,Effingham County,County,None
17,49,West township,79891,Effingham County,County,None
17,123,Lacon township,40572,Marshall County,County,None
17,151,Golconda No. 2 precinct,91404,Pope County,County,None
17,151,Jefferson No. 4 precinct,91746,Pope County,County,None
17,55,Eastern township,21735,Franklin County,County,None
17,55,Goode township,30406,Franklin County,County,None
17,55,Northern township,53637,Franklin County,County,None
17,47,Browns precinct,90540,Edwards County,County,None
17,47,French Creek precinct,91296,Edwards County,County,None
17,47,Salem No. 1 precinct,93081,Edwards County,County,None
17,113,Dry Grove township,20838,McLean County,County,Current Clients
17,113,Funks Grove township,28209,McLean County,County,None
17,149,Hardin township,32863,Pike County,County,None
17,149,Kinderhook township,39935,Pike County,County,None
17,149,Newburg township,52259,Pike County,County,None
17,149,New Salem township,52818,Pike County,County,None
17,149,Pearl township,58356,Pike County,County,None
17,149,Perry township,59169,Pike County,County,None
17,141,Taylor township,74535,Ogle County,County,None
17,173,Clarksburg township,14637,Shelby County,County,None
17,173,Penn township,58590,Shelby County,County,None
17,173,Todds Point township,75588,Shelby County,County,None
17,113,Gridley township,31745,McLean County,County,Current Clients
17,113,Lawndale township,42353,McLean County,County,Current Clients
17,113,Lexington township,43107,McLean County,County,None
17,79,Grandville township,30887,Jasper County,County,None
17,79,Grove township,31888,Jasper County,County,None
17,79,Hunt City township,36659,Jasper County,County,None
17,123,Roberts township,64668,Marshall County,County,None
17,79,North Muddy township,54001,Jasper County,County,None
17,79,Ste. Marie township,66803,Jasper County,County,None
17,197,Du Page township,21241,Will County,County,None
17,197,Manhattan township,46370,Will County,County,None
17,1,Beverly township,5742,Adams County,County,None
17,1,Burton township,10019,Adams County,County,None
17,129,Tallula No. 11 precinct,93366,Menard County,County,None
17,159,Claremont township,14546,Richland County,County,None
17,159,Decker township,18862,Richland County,County,None
17,159,Denver township,19486,Richland County,County,None
17,159,Noble township,53156,Richland County,County,None
17,1,Camp Point township,10890,Adams County,County,None
17,45,Kansas township,38999,Edgar County,County,None
17,149,Flint township,26415,Pike County,County,None
17,39,Nixon township,53117,De Witt County,County,None
17,39,Waynesville township,79462,De Witt County,County,None
17,131,Duncan township,20968,Mercer County,County,None
17,113,Martin township,47215,McLean County,County,Current Clients
17,113,Money Creek township,49971,McLean County,County,Current Clients
17,113,Mount Hope township,50972,McLean County,County,Current Clients
17,113,Old Town township,55782,McLean County,County,Current Clients
17,79,South Muddy township,71084,Jasper County,County,None
17,79,Wade township,78357,Jasper County,County,None
17,131,Keithsburg township,39311,Mercer County,County,None
17,79,Willow Hill township,82023,Jasper County,County,None
17,59,Asbury township,2427,Gallatin County,County,None
17,59,New Haven township,52519,Gallatin County,County,None
17,169,Buena Vista township,9395,Schuyler County,County,None
17,169,Woodstock township,83362,Schuyler County,County,None
17,1,Columbus township,15859,Adams County,County,None
17,1,Concord township,16015,Adams County,County,None
17,147,Unity township,76888,Piatt County,County,None
17,155,Granville township,31030,Putnam County,County,None
17,155,Hennepin township,34124,Putnam County,County,None
17,1,Fall Creek township,25258,Adams County,County,None
17,1,Honey Creek township,35957,Adams County,County,None
17,113,Randolph township,62692,McLean County,County,Current Clients
17,113,Towanda township,75835,McLean County,County,Current Clients
