STATEFP,COUNTYFP,NAMELSAD,COUSUBFP,Place Name,Place Type
17,163,O'Fallon township,55262,St. Clair County,County
17,163,Smithton township,70265,St. Clair County,County
17,163,Sugar Loaf township,73456,St. Clair County,County
17,029,Pleasant Grove township,60469,Coles County,County
17,041,Arcola township,01894,Douglas County,County
17,063,Saratoga township,67678,Grundy County,County
17,063,Goose Lake township,30549,Grundy County,County
17,163,Stites township,72741,St. Clair County,County
17,153,Karnak precinct,91800,Pulaski County,County
17,153,Pulaski precinct,92952,Pulaski County,County
17,153,Wetaug precinct,93744,Pulaski County,County
17,147,Cerro Gordo township,12275,Piatt County,County
17,147,Blue Ridge township,06808,Piatt County,County
17,119,Helvetia township,33981,Madison County,County
17,045,Brouilletts Creek township,08901,Edgar County,County
17,153,America precinct,90108,Pulaski County,County
17,153,Mound City precinct,92178,Pulaski County,County
17,153,Olmsted precinct,92322,Pulaski County,County
17,153,Perks precinct,92412,Pulaski County,County
17,183,Ross township,65949,Vermilion County,County
17,011,Fairfield township,24790,Bureau County,County
17,045,Buck township,09213,Edgar County,County
17,045,Edgar township,22502,Edgar County,County
17,045,Elbridge township,22912,Edgar County,County
17,045,Embarrass township,23958,Edgar County,County
17,191,Big Mound township,05950,Wayne County,County
17,191,Elm River township,23685,Wayne County,County
17,191,Leech township,42626,Wayne County,County
17,095,Galesburg City township,28352,Knox County,County
17,045,Grandview township,30822,Edgar County,County
17,045,Hunter township,36685,Edgar County,County
17,045,Paris township,57641,Edgar County,County
17,095,Walnut Grove township,78565,Knox County,County
17,071,Bald Bluff township,03415,Henderson County,County
17,045,Prairie township,61483,Edgar County,County
17,045,Ross township,65923,Edgar County,County
17,089,Burlington township,09772,Kane County,County
17,089,Elgin township,23087,Kane County,County
17,135,Fillmore Consolidated township,26094,Montgomery County,County
17,173,Holland township,35567,Shelby County,County
17,173,Oconee township,55145,Shelby County,County
17,139,Lowe township,45083,Moultrie County,County
17,033,Licking township,43315,Crawford County,County
17,173,Big Spring township,06002,Shelby County,County
17,173,Cold Spring township,15417,Shelby County,County
17,173,Dry Point township,20851,Shelby County,County
17,173,Flat Branch township,26337,Shelby County,County
17,173,Herrick township,34345,Shelby County,County
17,173,Lakewood township,41690,Shelby County,County
17,163,Belleville city,04845,St. Clair County,County
17,173,Moweaqua township,51245,Shelby County,County
17,173,Okaw township,55457,Shelby County,County
17,031,Evanston city,24582,Cook County,County
17,043,Addison township,00250,DuPage County,County
17,043,Downers Grove township,20604,DuPage County,County
17,043,Naperville township,51635,DuPage County,County
17,043,Winfield township,82413,DuPage County,County
17,045,Shiloh township,69498,Edgar County,County
17,045,Stratton township,73092,Edgar County,County
17,045,Young America township,84064,Edgar County,County
17,043,Chicago city,14000,DuPage County,County
17,169,Bainbridge township,03350,Schuyler County,County
17,169,Birmingham township,06132,Schuyler County,County
17,161,Coal Valley township,15248,Rock Island County,County
17,149,Pittsfield township,60235,Pike County,County
17,149,Pleasant Hill township,60547,Pike County,County
17,099,Adams township,00204,La Salle County,County
17,099,Ophir township,56224,La Salle County,County
17,149,Pleasant Vale township,60651,Pike County,County
17,149,Ross township,65936,Pike County,County
17,149,Spring Creek township,71617,Pike County,County
17,133,Precinct 1,92550,Monroe County,County
17,133,Precinct 6,92575,Monroe County,County
17,133,Precinct 10,92595,Monroe County,County
17,099,Richland township,63576,La Salle County,County
17,103,Amboy township,01283,Lee County,County
17,083,English township,24231,Jersey County,County
17,083,Fidelity township,25973,Jersey County,County
17,043,Bloomingdale township,06600,DuPage County,County
17,141,Forreston township,27078,Ogle County,County
17,169,Brooklyn township,08693,Schuyler County,County
17,169,Browning township,08966,Schuyler County,County
17,169,Camden township,10708,Schuyler County,County
17,169,Frederick township,27793,Schuyler County,County
17,169,Hickory township,34462,Schuyler County,County
17,169,Huntsville township,36776,Schuyler County,County
17,143,Akron township,00477,Peoria County,County
17,143,Brimfield township,08316,Peoria County,County
17,143,Chillicothe township,14130,Peoria County,County
17,143,Elmwood township,23711,Peoria County,County
17,143,Hollis township,35645,Peoria County,County
17,143,Jubilee township,38765,Peoria County,County
17,143,Limestone township,43523,Peoria County,County
17,001,Clayton township,14780,Adams County,County
17,001,Ellington township,23412,Adams County,County
17,001,Gilmer township,29288,Adams County,County
17,001,Lima township,43458,Adams County,County
17,001,Mendon township,48320,Adams County,County
17,001,Ursa township,77057,Adams County,County
17,133,Precinct 37,92730,Monroe County,County
17,133,Precinct 28,92685,Monroe County,County
17,103,Bradford township,07679,Lee County,County
17,103,Brooklyn township,08654,Lee County,County
17,103,Harmon township,32980,Lee County,County
17,103,Lee Center township,42613,Lee County,County
17,169,Rushville township,66352,Schuyler County,County
17,187,Hale township,32226,Warren County,County
17,187,Spring Grove township,72065,Warren County,County
17,013,Belleview precinct,90360,Calhoun County,County
17,013,Carlin precinct,90630,Calhoun County,County
17,013,Crater precinct,90900,Calhoun County,County
17,013,Gilead precinct,91350,Calhoun County,County
17,013,Hamburg precinct,91584,Calhoun County,County
17,145,Du Quoin No. 2 precinct,91011,Perry County,County
17,145,Beaucoup precinct,90342,Perry County,County
17,145,Sunfield precinct,93330,Perry County,County
17,145,Pinckneyville No. 8 precinct,92475,Perry County,County
