County,Township,Label,COUSUBFP
Edgar County,Embarrass township,,23958
Wayne County,Big Mound township,,05950
Wayne County,Elm River township,,23685
Wayne County,Leech township,,42626
Knox County,Galesburg City township,,28352
Edgar County,Grandview township,,30822
Edgar County,Hunter township,,36685
Edgar County,Paris township,,57641
McDonough County,Walnut Grove township,,78591
Knox County,Walnut Grove township,,78565
Henderson County,Bald Bluff township,,03415
Shelby County,Prairie township,,61522
Crawford County,Prairie township,,61470
Hancock County,Prairie township,,61496
Edgar County,Prairie township,,61483
Vermilion County,Ross township,,65949
Edgar County,Ross township,,65923
Pike County,Ross township,,65936
Kane County,Burlington township,,09772
Kane County,Elgin township,,23087
Montgomery County,Fillmore Consolidated township,,26094
Shelby County,Holland township,,35567
Shelby County,Oconee township,,55145
Moultrie County,Lowe township,,45083
Crawford County,Licking township,,43315
Shelby County,Big Spring township,,06002
Shelby County,Cold Spring township,,15417
Shelby County,Dry Point township,,20851
Shelby County,Flat Branch township,,26337
Shelby County,Herrick township,,34345
Shelby County,Lakewood township,,41690
St. Clair County,Belleville city,,04845
Shelby County,Moweaqua township,,51245
Shelby County,Okaw township,,55457
Cook County,Evanston city,,24582
DuPage County,Addison township,,00250
DuPage County,Downers Grove township,,20604
DuPage County,Naperville township,,51635
DuPage County,Winfield township,,82413
Edgar County,Shiloh township,,69498
Jefferson County,Shiloh township,,69511
Edgar County,Stratton township,,73092
Edgar County,Young America township,,84064
Cook County,Chicago city,,14000
DuPage County,Chicago city,,14000
Schuyler County,Bainbridge township,,03350
Schuyler County,Birmingham township,,06132
Rock Island County,Coal Valley township,,15248
Pike County,Pittsfield township,,60235
Pike County,Pleasant Hill township,,60547
La Salle County,Adams township,,00204
La Salle County,Ophir township,,56224
Pike County,Pleasant Vale township,,60651
Vermilion County,Ross township,,65949
Edgar County,Ross township,,65923
Pike County,Ross township,,65936
Pike County,Spring Creek township,,71617
Monroe County,Precinct 1,,92550
Monroe County,Precinct 6,,92575
Monroe County,Precinct 10,,92595
Shelby County,Richland township,,63615
La Salle County,Richland township,,63576
Marshall County,Richland township,,63589
Lee County,Amboy township,,01283
Jersey County,English township,,24231
Jersey County,Fidelity township,,25973
DuPage County,Bloomingdale township,,06600
Ogle County,Forreston township,,27078
