STATEFP,COUNTYFP,NAMELSAD,COUSUBFP
17,085,West Galena township,80359
17,085,Woodbine township,82907
17,085,Vinegar Hill township,78084
17,181,Union precinct,93484
17,059,Eagle Creek township,21449
17,059,Equality township,24361
17,059,Gold Hill township,30302
17,059,North Fork township,53702
17,017,Arenzville township,01959
17,017,Ashland township,02518
17,017,Beardstown township,04364
17,059,Omaha township,56016
17,059,Ridgway township,64031
17,059,Shawnee township,69069
17,137,Jacksonville No. 2 precinct,91712
17,101,Christy township,14299
17,101,Lukin township,45200
17,017,Hagener township,32148
17,017,Newmansville township,52662
17,017,Panther Creek township,57550
17,017,Philadelphia township,59481
17,017,Virginia township,78214
17,137,Pisgah precinct,92484
17,141,Buffalo township,09421
17,141,Byron township,10253
17,141,Dement township,19382
17,141,Eagle Point township,21501
17,141,Flagg township,26298
17,141,Grand Detour township,30718
17,141,Lafayette township,40650
17,141,Leaf River township,42470
17,141,Lincoln township,43549
17,141,Lynnville township,45382
17,141,Marion township,46903
17,141,Maryland township,47358
17,141,Monroe township,50049
17,141,Mount Morris township,51011
17,141,Oregon-Nashua township,56504
17,141,Pine Rock township,59975
17,137,Alexander precinct,90054
17,137,Arcadia precinct,90234
17,137,Jacksonville No. 1 precinct,91711
17,137,Jacksonville No. 3 precinct,91713
17,137,Jacksonville No. 4 precinct,91714
17,141,Rockvale township,65182
17,141,White Rock township,81399
17,141,Woosung township,83492
17,101,Allison township,00906
17,101,Russell township,66378
17,101,Bridgeport township,08199
17,037,Shabbona township,68835
17,037,Somonauk township,70473
17,181,Anna District 1 precinct,90126
17,181,Anna District 2 precinct,90144
17,181,Anna District 3 precinct,90162
17,181,Anna District 6 precinct,90216
17,175,Elmira township,23646
17,035,Neoga township,51993
17,035,Union township,76641
17,019,Ayers township,03246
17,003,Cache precinct,90576
17,021,Locust township,44251
17,141,Scott township,68302
17,077,Ora township,56276
17,037,Afton township,00386
17,037,Clinton township,14988
17,037,Cortland township,16483
17,037,DeKalb township,19174
17,011,Hall township,32265
17,011,Macon township,45928
17,037,Franklin township,27650
17,037,Genoa township,28911
17,037,Kingston township,40078
17,037,Malta township,46292
17,037,Mayfield township,47696
17,037,Milan township,48983
17,037,Paw Paw township,58200
17,037,Pierce township,59676
17,037,Sandwich township,67561
17,037,South Grove township,70837
17,037,Sycamore township,74236
17,027,Sugar Creek township,73365
17,015,Freedom township,27832
17,121,Foster township,27195
17,137,Waverly No. 1 precinct,93640
17,121,Stevenson township,72598
17,113,Bloomington township,06626
17,113,Bloomington City township,06639
17,113,Cheney's Grove township,12905
17,113,Empire township,24140
17,113,Hudson township,36451
17,137,Franklin precinct,91278
17,137,Jacksonville No. 5 precinct,91715
17,121,Carrigan township,11436
17,121,Haines township,32187
17,121,Meacham township,47826
17,121,Raccoon township,62445
17,067,Rocky Run-Wilcox township,65240
17,167,Cotton Hill township,16574
17,167,Fancy Creek township,25323
17,125,Crane Creek township,17250
17,125,Kilbourne township,39870
17,125,Salt Creek township,67353
17,125,Sherman township,69329
17,019,Colfax township,15482
17,019,Compromise township,15976
17,123,Evans township,24569
17,019,Condit township,16080
17,019,Crittenden township,17588
17,019,Ogden township,55288
17,019,Pesotum township,59286
17,069,Rosiclare precinct,93050
17,123,La Prairie township,42093
17,123,Richland township,63589
17,123,Saratoga township,67691
17,019,Philo township,59546
17,019,Stanton township,72273
17,019,Tolono township,75627
17,123,Whitefield township,81230
17,121,Iuka township,37946
17,105,Amity township,01348
17,105,Germanville township,29106
17,109,Blandinsville township,06483
17,109,Chalmers township,12333
17,109,Emmet township,24101
17,109,Macomb township,45902
17,109,Macomb City township,45915
17,019,East Bend township,21566
17,019,Harwood township,33422
17,019,Kerr township,39688
17,019,Mahomet township,46149
17,019,Newcomb township,52376
17,019,Raymond township,62952
17,109,Scotland township,68250
17,023,Auburn township,02908
17,019,Sadorus township,66547
17,019,Scott township,68289
17,019,Sidney township,69888
