COUSUBFP,NAMELSAD,Place Name,Label
21046,Dundee township,Kane County,In the Pipeline
28885,Geneva township,Kane County,Current Clients
32538,Hampshire township,Kane County,
38908,Kaneville township,Kane County,
12177,Centralia township,Marion County,
65455,Romine township,Marion County,
67249,Salem township,Marion County,
75744,Tonti township,Marion County,
59247,Peru township,La Salle County,In the Pipeline
68692,Serena township,La Salle County,In the Pipeline
18979,Deerfield township,Fulton County,
71110,South Ottawa township,La Salle County,In the Pipeline
76238,Troy Grove township,La Salle County,In the Pipeline
77096,Utica township,La Salle County,In the Pipeline
78487,Wallace township,La Salle County,In the Pipeline
78682,Waltham township,La Salle County,In the Pipeline
21813,East Galena township,Jo Daviess County,
58187,Pawnee township,Sangamon County,In the Pipeline
24465,Essex township,Kankakee County,
28456,Ganeer township,Kankakee County,
38947,Kankakee township,Kankakee County,
43497,Limestone township,Kankakee County,
46513,Manteno township,Kankakee County,
49906,Momence township,Kankakee County,
54352,Norton township,Kankakee County,
90522,Brewerville precinct,Randolph County,
91818,Kaskaskia precinct,Randolph County,
93042,Rockwood precinct,Randolph County,
93834,Wine Hill precinct,Randolph County,
7458,Bourbon township,Douglas County,
90072,Alsey precinct,Scott County,
90468,Bloomfield precinct,Scott County,
91368,Glasgow precinct,Scott County,
92016,Manchester precinct,Scott County,
7497,Bowdre township,Douglas County,
10604,Camargo township,Douglas County,
28755,Garrett township,Douglas County,
51427,Murdock township,Douglas County,
52636,Newman township,Douglas County,
67730,Sargent township,Douglas County,
76420,Tuscola township,Douglas County,
72962,Stonington township,Christian County,
3428,Bald Hill township,Jefferson County,
6496,Blissville township,Jefferson County,
11670,Casner township,Jefferson County,
20227,Dodds township,Jefferson County,
23334,Elk Prairie township,Jefferson County,
25648,Farrington township,Jefferson County,
25986,Field township,Jefferson County,
30731,Grand Prairie township,Jefferson County,
92052,Merritt precinct,Scott County,
92250,Naples-Bluffs precinct,Scott County,
93780,Winchester No. 1 precinct,Scott County,
